Spread,Probability
15.5,0.922718
15,0.916818
14.5,0.91051
14,0.903774
13.5,0.896589
13,0.888933
12.5,0.880786
12,0.872127
11.5,0.862937
11,0.853198
10.5,0.842893
10,0.832006
9.5,0.820527
9,0.808443
8.5,0.795748
8,0.782438
7.5,0.768513
7,0.753978
6.5,0.738839
6,0.723112
5.5,0.706812
5,0.689965
4.5,0.672599
4,0.654746
3.5,0.636446
3,0.617742
2.5,0.598683
2,0.57932
1.5,0.55971
1,0.539913
0.5,0.50
0.0,0.50
-0.5,0.50
-1,0.460087
-1.5,0.44029
-2,0.42068
-2.5,0.401317
-3,0.382258
-3.5,0.363554
-4,0.345254
-4.5,0.327401
-5,0.310035
-5.5,0.293188
-6,0.276888
-6.5,0.261161
-7,0.246022
-7.5,0.231487
-8,0.217562
-8.5,0.204252
-9,0.191557
-9.5,0.179473
-10,0.167994
-10.5,0.157107
-11,0.146802
-11.5,0.137063
-12,0.127873
-12.5,0.119214
-13,0.111067
-13.5,0.103411
-14,0.096226
-14.5,0.08949
-15,0.083182
-15.5,0.077282
